sensitive_feature,group,n_samples,selection_rate,true_positive_rate,false_positive_rate,auc_roc,overall_selection_rate,overall_true_positive_rate,overall_false_positive_rate,overall_auc_roc,tpr_gap_vs_overall,potential_disparate_impact
state,AK,13,0.07692307692307693,1.0,0.0,1.0,0.1423529411764706,0.8916666666666667,0.019178082191780823,0.9526712328767123,0.10833333333333328,True
state,AL,26,0.19230769230769232,1.0,0.0,1.0,0.1423529411764706,0.8916666666666667,0.019178082191780823,0.9526712328767123,0.10833333333333328,True
state,AR,14,0.14285714285714285,1.0,0.0,1.0,0.1423529411764706,0.8916666666666667,0.019178082191780823,0.9526712328767123,0.10833333333333328,True
state,AZ,24,0.125,1.0,0.045454545454545456,1.0,0.1423529411764706,0.8916666666666667,0.019178082191780823,0.9526712328767123,0.10833333333333328,True
state,CA,5,0.2,1.0,0.0,1.0,0.1423529411764706,0.8916666666666667,0.019178082191780823,0.9526712328767123,0.10833333333333328,True
state,CO,19,0.15789473684210525,0.6666666666666666,0.0625,0.7083333333333334,0.1423529411764706,0.8916666666666667,0.019178082191780823,0.9526712328767123,0.2250000000000001,True
state,CT,17,0.17647058823529413,1.0,0.0,1.0,0.1423529411764706,0.8916666666666667,0.019178082191780823,0.9526712328767123,0.10833333333333328,True
state,DC,14,0.0,0.0,0.0,0.15384615384615385,0.1423529411764706,0.8916666666666667,0.019178082191780823,0.9526712328767123,0.8916666666666667,True
state,DE,19,0.10526315789473684,1.0,0.0,1.0,0.1423529411764706,0.8916666666666667,0.019178082191780823,0.9526712328767123,0.10833333333333328,True
state,FL,11,0.2727272727272727,1.0,0.0,1.0,0.1423529411764706,0.8916666666666667,0.019178082191780823,0.9526712328767123,0.10833333333333328,True
state,GA,18,0.16666666666666666,0.75,0.0,0.9285714285714286,0.1423529411764706,0.8916666666666667,0.019178082191780823,0.9526712328767123,0.14166666666666672,True
state,HI,21,0.047619047619047616,1.0,0.0,1.0,0.1423529411764706,0.8916666666666667,0.019178082191780823,0.9526712328767123,0.10833333333333328,True
state,IA,6,0.16666666666666666,1.0,0.0,1.0,0.1423529411764706,0.8916666666666667,0.019178082191780823,0.9526712328767123,0.10833333333333328,True
state,ID,22,0.045454545454545456,0.5,0.0,0.775,0.1423529411764706,0.8916666666666667,0.019178082191780823,0.9526712328767123,0.3916666666666667,True
state,IL,13,0.15384615384615385,1.0,0.0,1.0,0.1423529411764706,0.8916666666666667,0.019178082191780823,0.9526712328767123,0.10833333333333328,True
state,IN,17,0.17647058823529413,1.0,0.125,1.0,0.1423529411764706,0.8916666666666667,0.019178082191780823,0.9526712328767123,0.10833333333333328,True
state,KS,12,0.16666666666666666,1.0,0.0,1.0,0.1423529411764706,0.8916666666666667,0.019178082191780823,0.9526712328767123,0.10833333333333328,True
state,KY,9,0.1111111111111111,1.0,0.0,1.0,0.1423529411764706,0.8916666666666667,0.019178082191780823,0.9526712328767123,0.10833333333333328,True
state,LA,16,0.0,0.0,0.0,0.6,0.1423529411764706,0.8916666666666667,0.019178082191780823,0.9526712328767123,0.8916666666666667,True
state,MA,20,0.25,1.0,0.0,1.0,0.1423529411764706,0.8916666666666667,0.019178082191780823,0.9526712328767123,0.10833333333333328,True
state,MD,14,0.21428571428571427,1.0,0.08333333333333333,1.0,0.1423529411764706,0.8916666666666667,0.019178082191780823,0.9526712328767123,0.10833333333333328,True
state,ME,21,0.19047619047619047,0.6666666666666666,0.1111111111111111,0.8518518518518519,0.1423529411764706,0.8916666666666667,0.019178082191780823,0.9526712328767123,0.2250000000000001,True
state,MI,15,0.0,0.0,0.0,,0.1423529411764706,0.8916666666666667,0.019178082191780823,0.9526712328767123,0.8916666666666667,True
state,MN,22,0.18181818181818182,1.0,0.0,1.0,0.1423529411764706,0.8916666666666667,0.019178082191780823,0.9526712328767123,0.10833333333333328,True
state,MO,16,0.3125,1.0,0.0,1.0,0.1423529411764706,0.8916666666666667,0.019178082191780823,0.9526712328767123,0.10833333333333328,True
state,MS,17,0.23529411764705882,1.0,0.0,1.0,0.1423529411764706,0.8916666666666667,0.019178082191780823,0.9526712328767123,0.10833333333333328,True
state,MT,13,0.15384615384615385,0.6666666666666666,0.0,0.7333333333333333,0.1423529411764706,0.8916666666666667,0.019178082191780823,0.9526712328767123,0.2250000000000001,True
state,NC,14,0.14285714285714285,1.0,0.0,1.0,0.1423529411764706,0.8916666666666667,0.019178082191780823,0.9526712328767123,0.10833333333333328,True
state,ND,14,0.07142857142857142,1.0,0.0,1.0,0.1423529411764706,0.8916666666666667,0.019178082191780823,0.9526712328767123,0.10833333333333328,True
state,NE,14,0.0,0.0,0.0,0.5384615384615384,0.1423529411764706,0.8916666666666667,0.019178082191780823,0.9526712328767123,0.8916666666666667,True
state,NH,16,0.0625,1.0,0.0,1.0,0.1423529411764706,0.8916666666666667,0.019178082191780823,0.9526712328767123,0.10833333333333328,True
state,NJ,17,0.0,0.0,0.0,,0.1423529411764706,0.8916666666666667,0.019178082191780823,0.9526712328767123,0.8916666666666667,True
state,NM,12,0.4166666666666667,1.0,0.3,1.0,0.1423529411764706,0.8916666666666667,0.019178082191780823,0.9526712328767123,0.10833333333333328,True
state,NV,18,0.2222222222222222,1.0,0.0,1.0,0.1423529411764706,0.8916666666666667,0.019178082191780823,0.9526712328767123,0.10833333333333328,True
state,NY,15,0.13333333333333333,1.0,0.07142857142857142,1.0,0.1423529411764706,0.8916666666666667,0.019178082191780823,0.9526712328767123,0.10833333333333328,True
state,OH,11,0.09090909090909091,0.5,0.0,0.8888888888888888,0.1423529411764706,0.8916666666666667,0.019178082191780823,0.9526712328767123,0.3916666666666667,True
state,OK,16,0.25,1.0,0.0,1.0,0.1423529411764706,0.8916666666666667,0.019178082191780823,0.9526712328767123,0.10833333333333328,True
state,OR,21,0.19047619047619047,1.0,0.0,1.0,0.1423529411764706,0.8916666666666667,0.019178082191780823,0.9526712328767123,0.10833333333333328,True
state,PA,14,0.14285714285714285,1.0,0.0,1.0,0.1423529411764706,0.8916666666666667,0.019178082191780823,0.9526712328767123,0.10833333333333328,True
state,RI,16,0.125,1.0,0.0,1.0,0.1423529411764706,0.8916666666666667,0.019178082191780823,0.9526712328767123,0.10833333333333328,True
state,SC,13,0.23076923076923078,0.75,0.0,0.7777777777777778,0.1423529411764706,0.8916666666666667,0.019178082191780823,0.9526712328767123,0.14166666666666672,True
state,SD,12,0.16666666666666666,1.0,0.0,1.0,0.1423529411764706,0.8916666666666667,0.019178082191780823,0.9526712328767123,0.10833333333333328,True
state,TN,25,0.28,0.8571428571428571,0.05555555555555555,0.9682539682539683,0.1423529411764706,0.8916666666666667,0.019178082191780823,0.9526712328767123,0.03452380952380962,False
state,TX,22,0.2727272727272727,0.8333333333333334,0.0625,0.9791666666666666,0.1423529411764706,0.8916666666666667,0.019178082191780823,0.9526712328767123,0.05833333333333335,False
state,UT,18,0.05555555555555555,1.0,0.0,1.0,0.1423529411764706,0.8916666666666667,0.019178082191780823,0.9526712328767123,0.10833333333333328,True
state,VA,20,0.05,1.0,0.0,1.0,0.1423529411764706,0.8916666666666667,0.019178082191780823,0.9526712328767123,0.10833333333333328,True
state,VT,23,0.043478260869565216,1.0,0.0,1.0,0.1423529411764706,0.8916666666666667,0.019178082191780823,0.9526712328767123,0.10833333333333328,True
state,WA,15,0.2,1.0,0.0,1.0,0.1423529411764706,0.8916666666666667,0.019178082191780823,0.9526712328767123,0.10833333333333328,True
state,WI,21,0.09523809523809523,1.0,0.05,1.0,0.1423529411764706,0.8916666666666667,0.019178082191780823,0.9526712328767123,0.10833333333333328,True
state,WV,27,0.037037037037037035,0.5,0.0,1.0,0.1423529411764706,0.8916666666666667,0.019178082191780823,0.9526712328767123,0.3916666666666667,True
state,WY,22,0.09090909090909091,1.0,0.0,1.0,0.1423529411764706,0.8916666666666667,0.019178082191780823,0.9526712328767123,0.10833333333333328,True
area_code,area_code_408,215,0.12093023255813953,0.8888888888888888,0.010638297872340425,0.9412923561859732,0.1423529411764706,0.8916666666666667,0.019178082191780823,0.9526712328767123,0.002777777777777879,False
area_code,area_code_415,406,0.14285714285714285,0.847457627118644,0.023054755043227664,0.9385532164313974,0.1423529411764706,0.8916666666666667,0.019178082191780823,0.9526712328767123,0.04420903954802269,False
area_code,area_code_510,229,0.1615720524017467,0.9705882352941176,0.020512820512820513,0.9876319758672698,0.1423529411764706,0.8916666666666667,0.019178082191780823,0.9526712328767123,0.07892156862745092,False
international_plan,no,758,0.10422163588390501,0.8375,0.017699115044247787,0.9300884955752212,0.1423529411764706,0.8916666666666667,0.019178082191780823,0.9526712328767123,0.054166666666666696,False
international_plan,yes,92,0.45652173913043476,1.0,0.038461538461538464,0.9990384615384615,0.1423529411764706,0.8916666666666667,0.019178082191780823,0.9526712328767123,0.10833333333333328,True
